nome,lat,lon,tipo,capidade,rua,cep,road,suburb,city,state,postcode
,40.447447,-3.6278558,parking,,Calle Doctor Zamenhof,28037,Calle Doctor Zamenhof,San Blas - Canillejas,Madrid,Comunidad de Madrid,28037
,-13.0055799,-38.5237918,parking,,Avenida Centenário,40140-400,Avenida Centenário,Chame-Chame,Salvador,Bahia,40140-400
,-13.0059993,-38.5239912,parking,,Avenida Centenário,40150-080,Avenida Centenário,Chame-Chame,Salvador,Bahia,40150-080
,-13.0064831,-38.5255084,parking,,Rua Cardeal Enrico Dante,40140-333,Rua Cardeal Enrico Dante,Barra,Salvador,Bahia,40140-333
,-13.0031788,-38.5067243,parking,,Avenida Milton Santos,40170-110,Avenida Milton Santos,Ondina,Salvador,Bahia,40170-110
,-12.9960135,-38.4641229,parking,,Rua Alberto Silva,41815-010,Rua Alberto Silva,Itaigara,Salvador,Bahia,41815-010
,-12.9690228,-38.5038351,parking,,Avenida José Joaquim Seabra,40301-360,Avenida José Joaquim Seabra,Nazaré,Salvador,Bahia,40301-360
,-12.9829661,-38.4795526,parking,,Primeira Travessa da Rua Borafogo,40276-140,Primeira Travessa da Rua Borafogo,Brotas,Salvador,Bahia,40276-140
,-12.9360536,-38.3949267,parking,,Avenida Luís Viana,41730-101,Avenida Luís Viana,Patamares,Salvador,Bahia,41730-101
,-12.9838326,-38.4708177,parking,,Rua Professora Guiomar Florence,58378-000,Rua Professora Guiomar Florence,Cosme de Farias,Salvador,Bahia,58378-000
,-12.9216119,-38.3560344,parking,,Avenida Luís Viana Filho,41500-300,Avenida Luís Viana Filho,Itapuã,Salvador,Bahia,41500-300
,38.0134118,-7.8611349,parking,,Rua Jacinto Freire de Andrade,7800-019,Rua Jacinto Freire de Andrade,,Beja,,7800-019
,38.0110241,-7.8558183,parking,,Rua Escritor Ferreira de Castro,7800-062,Rua Escritor Ferreira de Castro,,Beja,,7800-062
,38.0114313,-7.8591029,parking,,Rua Dom Afonso Henriques,7800-049,Rua Dom Afonso Henriques,,Beja,,7800-049
,-12.9832598,-38.4652506,parking,,Rua da Alfazema,41820-710,Rua da Alfazema,Caminho das Árvores,Salvador,Bahia,41820-710
,-13.0076792,-38.5081407,parking,,Rua Macapá,40170-010,Rua Macapá,Ondina,Salvador,Bahia,40170-010
,38.0131355,-7.8602469,parking,,Rua Dom Nuno Alvares Pereira,7800-077,Rua Dom Nuno Alvares Pereira,,Beja,,7800-077
,-12.937644,-38.4127863,parking,,Rua Adalgisa Souza Pinto,41745-130,Rua Adalgisa Souza Pinto,São Rafael,Salvador,Bahia,41745-130
,-12.9897134,-38.5194924,parking,,Avenida Leovigildo Filgueiras,40100-000,Avenida Leovigildo Filgueiras,Garcia,Salvador,Bahia,40100-000
,-13.010443,-38.4975809,parking,,Avenida Oceânica,41950-080,Avenida Oceânica,Rio Vermelho,Salvador,Bahia,41950-080
,-13.0015107,-38.5045285,parking,,Avenida Anita Garibaldi,41940-457,Avenida Anita Garibaldi,Federação,Salvador,Bahia,41940-457
,-13.0147722,-38.48532,parking,,Rua Fonte do Boi,41940-360,Rua Fonte do Boi,Rio Vermelho,Salvador,Bahia,41940-360
,37.9398464,-7.5976333,parking,,Rua Doutor Ramon Norato de La Féria,7830-370,Rua Doutor Ramon Norato de La Féria,,Serpa,,7830-370
,37.9388164,-7.5918263,parking,,Rua Doutor Edgar Pires Valadas,7830-479,Rua Doutor Edgar Pires Valadas,,Serpa,,7830-479
,37.9388416,-7.6048806,parking,,Avenida José Marti,7830-333,Avenida José Marti,,Serpa,,7830-333
,37.9416351,-7.601556,parking,,Largo Catarina Eufémia,7830-460,Largo Catarina Eufémia,,Serpa,,7830-460
,38.0123976,-7.8562253,parking,,Rua Doutor Teófilo Braga,7800-531,Rua Doutor Teófilo Braga,,Beja,,7800-531
,-12.9570691,-38.4368183,parking,,Rua Doutor Manoel Nogueira,41181-010,Rua Doutor Manoel Nogueira,COHAB,Salvador,Bahia,41181-010
,-12.9817056,-38.4559493,parking,,Rua Ewerton Visco,40060-001,Rua Ewerton Visco,Caminho das Árvores,Salvador,Bahia,40060-001
,-12.9805457,-38.4555174,parking,,Rua Coronel Almerindo Rehem,41820-021,Rua Coronel Almerindo Rehem,Caminho das Árvores,Salvador,Bahia,41820-021
,-12.9886146,-38.4504856,parking,,Rua Desembargador Álvaro Clemente de Oliveira,41810-011,Rua Desembargador Álvaro Clemente de Oliveira,Costa Azul,Salvador,Bahia,41810-011
,-12.9876402,-38.450588,parking,,Avenida Professor Magalhães Neto,41810-011,Avenida Professor Magalhães Neto,Costa Azul,Salvador,Bahia,41810-011
,-12.9866332,-38.4524235,parking,,Rua Desembargador Álvaro Clemente de Oliveira,41819-011,Rua Desembargador Álvaro Clemente de Oliveira,STIEP,Salvador,Bahia,41819-011
,-13.0086324,-38.5259149,parking,,Rua Francisco Otaviano,40140-080,Rua Francisco Otaviano,Barra,Salvador,Bahia,40140-080
,-12.9575473,-38.4373693,parking,,,41181-010,,COHAB,Salvador,Bahia,41181-010
,-13.0091376,-38.5100084,parking,,Rua Baependi,40170-010,Rua Baependi,Ondina,Salvador,Bahia,40170-010
,-13.0124706,-38.4902502,parking,,Rua João Gomes,41950-600,Rua João Gomes,Rio Vermelho,Salvador,Bahia,41950-600
,-12.9644685,-38.502551,parking,,Rua dos Perdões,40301-510,Rua dos Perdões,Santo Antônio,Salvador,Bahia,40301-510
,-12.9641358,-38.5018144,parking,,Rua Engenheiro Joaquim Pimenta Bastos,40301-070,Rua Engenheiro Joaquim Pimenta Bastos,Santo Antônio,Salvador,Bahia,40301-070
,-12.9652586,-38.5033885,parking,,Rua dos Perdões,40301-510,Rua dos Perdões,Santo Antônio,Salvador,Bahia,40301-510
,-12.9648042,-38.503059,parking,,Rua dos Perdões,40301-510,Rua dos Perdões,Santo Antônio,Salvador,Bahia,40301-510
,-12.9671193,-38.506467,parking,,Rua Direita de Santo Antônio,40301-360,Rua Direita de Santo Antônio,Santo Antônio,Salvador,Bahia,40301-360
,-12.9674928,-38.5070005,parking,,Rua do Carmo,40301-360,Rua do Carmo,Santo Antônio,Salvador,Bahia,40301-360
,-12.9676109,-38.5071449,parking,,Rua do Carmo,40301-360,Rua do Carmo,Santo Antônio,Salvador,Bahia,40301-360
,-12.9933192,-38.5190061,parking,,Rua Cônego José Lorêto,40110-190,Rua Cônego José Lorêto,Canela,Salvador,Bahia,40110-190
,-13.0064068,-38.4891658,parking,,Rua Lucaia,41940-640,Rua Lucaia,Rio Vermelho,Salvador,Bahia,41940-640
,-13.0093001,-38.5274528,parking,,Avenida Oceânica,40140-230,Avenida Oceânica,Barra,Salvador,Bahia,40140-230
,-13.006846,-38.5246835,parking,,Rua Airosa Galvão,40140-080,Rua Airosa Galvão,Barra,Salvador,Bahia,40140-080
,-13.0047771,-38.5091964,parking,,Avenida Milton Santos,40170-110,Avenida Milton Santos,Ondina,Salvador,Bahia,40170-110
,-12.9885988,-38.448298,parking,,Rua Arthur de Azevêdo Machado,41770-000,Rua Arthur de Azevêdo Machado,Costa Azul,Salvador,Bahia,41770-000
,-12.9825272,-38.4556692,parking,,Rua Ewerton Visco,40060-001,Rua Ewerton Visco,Caminho das Árvores,Salvador,Bahia,40060-001
,-12.9552169,-38.4371188,parking,,Rua Teódulo de Albuquerque,41181-010,Rua Teódulo de Albuquerque,COHAB,Salvador,Bahia,41181-010
,-12.9568818,-38.4376448,parking,,Rua Teódulo de Albuquerque,41181-010,Rua Teódulo de Albuquerque,COHAB,Salvador,Bahia,41181-010
,-12.9569312,-38.4377451,parking,,Rua Teódulo de Albuquerque,41181-010,Rua Teódulo de Albuquerque,COHAB,Salvador,Bahia,41181-010
,-12.9553359,-38.4381811,parking,,Travessa Teódulo de Albuquerque,41181-025,Travessa Teódulo de Albuquerque,COHAB,Salvador,Bahia,41181-025
,-12.9584097,-38.4382632,parking,,1ª Travessa Jones Meio,41192-005,1ª Travessa Jones Meio,COHAB,Salvador,Bahia,41192-005
,-12.9544548,-38.4430409,parking,,Acesso I Cabula VI,41181-025,Acesso I Cabula VI,COHAB,Salvador,Bahia,41181-025
,-12.9321902,-38.5063656,parking,,Rua Henrique Dias,41211-121,Rua Henrique Dias,Bonfim,Salvador,Bahia,41211-121
,-12.9346962,-38.4788156,parking,,Rua Manoel Fernandes,40391-161,Rua Manoel Fernandes,Alagados,Salvador,Bahia,40391-161
,-12.9409385,-38.4968659,parking,,Rua Luiz Maria,40450-131,Rua Luiz Maria,Calçada,Salvador,Bahia,40450-131
,-13.0090486,-38.5275062,parking,,Avenida Almirante Marques de Leão,40140-230,Avenida Almirante Marques de Leão,Barra,Salvador,Bahia,40140-230
,-13.0137392,-38.485916,parking,,Rua Fonte do Boi,41940-360,Rua Fonte do Boi,Rio Vermelho,Salvador,Bahia,41940-360
,-12.9066009,-38.3494936,parking,,Rua Avenida Central,41502-320,Rua Avenida Central,Jardim das Margaridas,Salvador,Bahia,41502-320
,-12.9031989,-38.4043574,parking,,Rua B-01,41342-315,Rua B-01,Cajazeiras,Salvador,Bahia,41342-315
,-13.0092786,-38.465898,parking,,Rua Pará,41830-070,Rua Pará,Pituba,Salvador,Bahia,41830-070
,-12.9730708,-38.504206,parking,,Travessa Marquês de Barbacena,40050-900,Travessa Marquês de Barbacena,Saúde,Salvador,Bahia,40050-900
,-12.9315622,-38.4128883,parking,,Avenida Artêmio Castro Valente,41260-300,Avenida Artêmio Castro Valente,São Rafael,Salvador,Bahia,41260-300
,-12.969436,-38.4354869,parking,,Avenida Jorge Amado,41720-020,Avenida Jorge Amado,Imbuí,Salvador,Bahia,41720-020
